Country,Life expectancy at birth (years)-Both sexes,Life expectancy at birth (years)-Male,Life expectancy at birth (years)-Female,Life expectancy at age 60 (years)-Both sexes,Life expectancy at age 60 (years)-Male,Life expectancy at age 60 (years)-Female
Costa Rica,80.8,78.3,83.4,25,23.6,26.4
Ivory Coast,62.9,60.5,65.8,17.1,15.8,18.7
Croatia,78.6,75.5,81.6,21.8,19.4,23.7
Cuba,77.8,75.4,80.3,21.6,20,23.2
Cyprus,83.1,81.1,85.1,24.9,23.3,26.4
Czechia,79.1,76.3,81.9,22.1,19.9,24
Democratic People's Republic of Korea,72.6,69.3,75.7,19.1,16.8,20.8
Democratic Republic of the Congo,62.4,60,64.8,16.6,15.4,17.9
Denmark,81.3,79.6,83,23.6,22.3,24.9
Djibouti,65.8,64.1,67.8,17.8,16.6,19
Dominican Republic,72.8,69.8,76.2,20.6,19,22.4
Ecuador,78.4,76.4,80.5,23.2,22,24.3
Egypt,71.8,69.6,74.1,17.8,16.5,19.1
El Salvador,75,70.6,79.1,22.1,20.4,23.6
Equatorial Guinea,62.2,60.9,63.6,17.6,16.5,18.8
Eritrea,64.1,61.3,67.1,15.5,14.1,16.8
Estonia,78.9,74.7,82.6,22.5,19.3,25
Eswatini,57.7,53.4,63.2,15.1,12.4,17.7
Ethiopia,68.7,66.9,70.5,18.4,17.4,19.4
Fiji,68,65.9,70.3,16.2,14.9,17.5
Finland,81.6,79.2,84,24.2,22.4,25.8
France,82.5,79.8,85.1,25.3,23.3,27.2
Gabon,66.5,63.6,69.7,17.2,15.2,19.3
Gambia,65.5,63.4,67.7,16.9,15.8,18
Georgia,73.3,68.8,77.8,18.8,16,21
Germany,81.7,78.7,84.8,24.4,21.9,26.9
Ghana,66.3,63.7,69.2,17.2,15.7,18.9
Greece,81.1,78.6,83.6,23.8,22.1,25.5
Grenada,72.9,70.6,75.3,18.7,17.2,20.3
Guatemala,72,69,75,20.5,19.4,21.4
Guinea,61,59.5,62.3,16.5,15.6,17.2
Guinea-Bissau,60.2,57.4,63,15.5,13.9,16.7
Guyana,65.7,62.5,69.4,16.6,15.1,18.1
Haiti,64.1,63.3,64.8,16.8,16.5,17
Honduras,71.9,70.7,73.2,18.3,17.5,19.1
Hungary,76.4,73.1,79.6,20.2,17.7,22.3
Iceland,82.3,80.8,83.9,24.6,23.7,25.5
India,70.8,69.5,72.2,18.8,18.1,19.5
Indonesia,71.3,69.4,73.3,17.9,16.7,19.1
Iran (Islamic Republic of),77.3,75.7,79.1,21.8,21.2,22.5
Iraq,72.4,69.9,75,19.2,17.6,20.7
Ireland,81.8,80.2,83.5,24.2,23,25.3
